experiment;D_cm;D;rhofrac;hr_cm;hr;am_cm;am;as_cm;as;Q_1000;Q;q;Q1_1000;Q1;q1;lam;Fr;Fr_round;G;G_round
-;cm;m;-;cm;m;cm;m;cm;m;10^-3 m3/s;m3/s;m2/s;10^-3 m3/s;m3/s;m2/s;-;-;-;m-1;m-1
114;6.1;0.061;0.0195;3.6;0.036000000000000004;3.05;0.0305;;;1;0.001;0.0014925373134328358;0.3;0.0003;0.0004477611940298507;0.3;0.4995967871088726;0.5;44.11819555506309;44.12
115;6.1;0.061;0.0195;2.9;0.028999999999999998;2.5;0.025;;;1;0.001;0.0014925373134328358;0.5;0.0005;0.0007462686567164179;0.5;0.6909973646972329;0.691;44.11819555506309;44.12
116;6.1;0.061;0.019;8.35;0.08349999999999999;6.7;0.067;;;3;0.003;0.004477611940298507;0;0;0;0;0.4298386213556917;0.43;21.026963852070217;21.03
117;6.1;0.061;0.019;8.4;0.084;6.75;0.0675;;;3;0.003;0.004477611940298507;0;0;0;0;0.42600649327921714;0.426;21.026963852070217;21.03
118;6.1;0.061;0.019;7.2;0.07200000000000001;5.35;0.0535;;;3;0.003;0.004477611940298507;0.3;0.0003;0.0004477611940298507;0.09999999999999999;0.5368295369851238;0.537;21.026963852070217;21.03
119;6.1;0.061;0.019;6.2;0.062;4.4;0.044000000000000004;;;3;0.003;0.004477611940298507;0.9;0.0009;0.0013432835820895521;0.3;0.6718117781759706;0.672;21.026963852070217;21.03
120;6.1;0.061;0.019;11.4;0.114;9.35;0.0935;;;5;0.005;0.007462686567164179;0;0;0;0;0.4490830054516056;0.449;14.958133387836618;14.96
121;6.1;0.061;0.0195;9.9;0.099;7.1;0.071;;;5;0.005;0.007462686567164179;0.5;0.0005;0.0007462686567164179;0.1;0.5477603601015525;0.548;15.088210641987333;15.09
122;6.1;0.061;0.019;8.35;0.08349999999999999;6.1;0.061;;;5;0.005;0.007462686567164179;1.5;0.0015;0.0022388059701492534;0.3;0.7163977022594862;0.716;14.958133387836618;14.96
123;6.1;0.061;0.019;7.1;0.071;5.25;0.0525;;;5;0.005;0.007462686567164179;2.5;0.0025;0.0037313432835820895;0.5;0.9136847459580013;0.914;14.958133387836618;14.96
124;6.1;0.061;0.0195;14.1;0.141;11.45;0.11449999999999999;;;7;0.007;0.010447761194029851;0;0;0;0;0.45117264380274164;0.451;12.056438857847201;12.06
125;6.1;0.061;0.0195;15.45;0.1545;12.75;0.1275;;;7.7;0.0077;0.011492537313432836;0;0;0;0;0.43268454947185664;0.433;11.314201905610126;11.31
126;6.1;0.061;0.019;6.65;0.0665;6.35;0.0635;;;1;0.001;0.0014925373134328358;0;0;0;0;0.201595774609004;0.202;43.737847356588375;43.74
127;6.1;0.061;0.019;6.05;0.0605;5.8;0.057999999999999996;;;1;0.001;0.0014925373134328358;0.1;0.0001;0.00014925373134328358;0.1;0.2323169145780852;0.232;43.737847356588375;43.74
128;6.1;0.061;0.0195;4.85;0.048499999999999995;3.4;0.034;;;1;0.001;0.0014925373134328358;0.3;0.0003;0.0004477611940298507;0.3;0.3194925826556259;0.319;44.11819555506309;44.12
129;6.1;0.061;0.019;3.95;0.0395;3.75;0.0375;;;1;0.001;0.0014925373134328358;0.5;0.0005;0.0007462686567164179;0.5;0.44037053183150515;0.44;43.737847356588375;43.74
130;6.1;0.061;0.019;8.55;0.0855;7.15;0.07150000000000001;;;3;0.003;0.004477611940298507;0;0;0;0;0.4148451105375531;0.415;21.026963852070217;21.03
131;6.1;0.061;0.0195;8.8;0.08800000000000001;7.35;0.0735;;;3;0.003;0.004477611940298507;0;0;0;0;0.3921666284066553;0.392;21.20981619400933;21.21
132;6.1;0.061;0.019;7.45;0.0745;5.7;0.057;;;3;0.003;0.004477611940298507;0.3;0.0003;0.0004477611940298507;0.09999999999999999;0.5100358915239989;0.51;21.026963852070217;21.03
133;6.1;0.061;0.0185;6.45;0.0645;4.6;0.046;;;3;0.003;0.004477611940298507;0.9;0.0009;0.0013432835820895521;0.3;0.6416327340760957;0.642;20.84087476664511;20.84
134;6.1;0.061;0.0195;11.6;0.11599999999999999;9.6;0.096;;;5;0.005;0.007462686567164179;0;0;0;0;0.43187335293577056;0.432;15.088210641987333;15.09
135;6.1;0.061;0.0195;10;0.1;7.25;0.0725;;;5;0.005;0.007462686567164179;0.5;0.0005;0.0007462686567164179;0.1;0.5395645300775824;0.54;15.088210641987333;15.09
136;6.1;0.061;0.0195;8.5;0.085;6.35;0.0635;;;5;0.005;0.007462686567164179;1.5;0.0015;0.0022388059701492534;0.3;0.6885175325437531;0.689;15.088210641987333;15.09
137;6.1;0.061;0.019;7.1;0.071;5.25;0.0525;;;5;0.005;0.007462686567164179;2.5;0.0025;0.0037313432835820895;0.5;0.9136847459580013;0.914;14.958133387836618;14.96
138;6.1;0.061;0.0195;14.3;0.14300000000000002;11.65;0.1165;;;7;0.007;0.010447761194029851;0;0;0;0;0.4417406559614353;0.442;12.056438857847201;12.06
